method,url,name,action
"GET|HEAD","https://localhost","","Closure"
"GET|HEAD","https://localhost/admin/admins","admin.admins.index","App\Http\Controllers\Admin\AdminController@index"
"POST","https://localhost/admin/admins","admin.admins.store","App\Http\Controllers\Admin\AdminController@store"
"GET|HEAD","https://localhost/admin/admins/create","admin.admins.create","App\Http\Controllers\Admin\AdminController@create"
"GET|HEAD","https://localhost/admin/admins/{admin}","admin.admins.show","App\Http\Controllers\Admin\AdminController@show"
"PUT|PATCH","https://localhost/admin/admins/{admin}","admin.admins.update","App\Http\Controllers\Admin\AdminController@update"
"DELETE","https://localhost/admin/admins/{admin}","admin.admins.destroy","App\Http\Controllers\Admin\AdminController@destroy"
"POST","https://localhost/admin/admins/{admin}/convert-to-user","admin.admins.convert","App\Http\Controllers\Admin\AdminController@convertToUser"
"GET|HEAD","https://localhost/admin/admins/{admin}/edit","admin.admins.edit","App\Http\Controllers\Admin\AdminController@edit"
"GET|HEAD","https://localhost/admin/dashboard","admin.dashboard","App\Http\Controllers\Admin\DashboardController@index"
"POST","https://localhost/admin/hs-pk/manual","admin.hs_pk.manual.store","App\Http\Controllers\Admin\HsPkManualController@store"
"GET|HEAD","https://localhost/admin/imports/gr","admin.imports.gr.index","App\Http\Controllers\Admin\GrImportPageController@index"
"POST","https://localhost/admin/imports/gr/upload","admin.imports.gr.upload","App\Http\Controllers\Admin\GrImportPageController@uploadForm"
"GET|HEAD","https://localhost/admin/imports/gr/{import}/preview","admin.imports.gr.preview","App\Http\Controllers\Admin\GrImportPageController@preview"
"POST","https://localhost/admin/imports/gr/{import}/publish","admin.imports.gr.publish","App\Http\Controllers\Admin\GrImportPageController@publishForm"
"GET|HEAD","https://localhost/admin/imports/hs-pk","admin.imports.hs_pk.index","App\Http\Controllers\Admin\HsPkImportPageController@index"
"GET|HEAD","https://localhost/admin/imports/invoices","admin.imports.invoices.index","App\Http\Controllers\Admin\InvoiceImportPageController@index"
"POST","https://localhost/admin/imports/invoices/upload","admin.imports.invoices.upload","App\Http\Controllers\Admin\InvoiceImportPageController@uploadForm"
"GET|HEAD","https://localhost/admin/imports/invoices/{import}/preview","admin.imports.invoices.preview","App\Http\Controllers\Admin\InvoiceImportPageController@preview"
"POST","https://localhost/admin/imports/invoices/{import}/publish","admin.imports.invoices.publish","App\Http\Controllers\Admin\InvoiceImportPageController@publishForm"
"GET|HEAD","https://localhost/admin/imports/quotas","admin.imports.quotas.index","App\Http\Controllers\Admin\QuotaImportPageController@index"
"GET|HEAD","https://localhost/admin/imports/quotas/hs-options","admin.imports.quotas.hs-options","App\Http\Controllers\Admin\QuotaImportPageController@hsOptions"
"POST","https://localhost/admin/imports/quotas/manual/add","admin.imports.quotas.manual.add","App\Http\Controllers\Admin\QuotaImportPageController@addManual"
"POST","https://localhost/admin/imports/quotas/manual/publish","admin.imports.quotas.manual.publish","App\Http\Controllers\Admin\QuotaImportPageController@publishManual"
"POST","https://localhost/admin/imports/quotas/manual/remove","admin.imports.quotas.manual.remove","App\Http\Controllers\Admin\QuotaImportPageController@removeManual"
"POST","https://localhost/admin/imports/quotas/manual/reset","admin.imports.quotas.manual.reset","App\Http\Controllers\Admin\QuotaImportPageController@resetManual"
"GET|HEAD","https://localhost/admin/imports/{import}/items","admin.imports.items","App\Http\Controllers\Admin\ImportController@listItems"
"POST","https://localhost/admin/imports/{import}/publish","admin.imports.publish","App\Http\Controllers\Admin\ImportController@publish"
"POST","https://localhost/admin/imports/{import}/publish-quotas","admin.imports.quotas.publish","App\Http\Controllers\Admin\ImportController@publishQuotas"
"GET|HEAD","https://localhost/admin/imports/{import}/summary","admin.imports.summary","App\Http\Controllers\Admin\ImportController@showSummary"
"GET|HEAD","https://localhost/admin/kuota","admin.kuota.index","App\Http\Controllers\Admin\QuotaController@index"
"POST","https://localhost/admin/kuota","admin.kuota.store","Closure"
"GET|HEAD","https://localhost/admin/kuota/create","admin.kuota.create","Closure"
"GET|HEAD","https://localhost/admin/kuota/{quota}/edit","admin.kuota.edit","App\Http\Controllers\Admin\QuotaController@edit"
"GET|HEAD","https://localhost/admin/mapping/mapped","admin.mapping.mapped.page","App\Http\Controllers\Admin\MappingPageController@mapped"
"GET|HEAD","https://localhost/admin/mapping/unmapped","admin.mapping.unmapped","App\Http\Controllers\Admin\MappingController@unmapped"
"GET|HEAD","https://localhost/admin/mapping/unmapped/view","admin.mapping.unmapped.page","App\Http\Controllers\Admin\MappingPageController@unmapped"
"GET|HEAD","https://localhost/admin/master-data/create-hs","admin.master.quick_hs.create","App\Http\Controllers\Admin\ProductQuickController@create"
"GET|HEAD","https://localhost/admin/master-data/model-hs","admin.master.quick_hs.index","App\Http\Controllers\Admin\ProductQuickController@index"
"POST","https://localhost/admin/master-data/store-hs","admin.master.quick_hs.store","App\Http\Controllers\Admin\ProductQuickController@store"
"GET|HEAD","https://localhost/admin/open-po/import","admin.openpo.form","App\Http\Controllers\Admin\OpenPoImportController@form"
"POST","https://localhost/admin/open-po/preview","admin.openpo.preview","App\Http\Controllers\Admin\OpenPoImportController@preview"
"GET|HEAD","https://localhost/admin/open-po/preview","admin.openpo.preview.page","App\Http\Controllers\Admin\OpenPoImportController@previewPage"
"POST","https://localhost/admin/open-po/publish","admin.openpo.publish","App\Http\Controllers\Admin\OpenPoImportController@publish"
"GET|HEAD","https://localhost/admin/permissions","admin.permissions.index","App\Http\Controllers\Admin\PermissionController@index"
"POST","https://localhost/admin/permissions","admin.permissions.store","App\Http\Controllers\Admin\PermissionController@store"
"GET|HEAD","https://localhost/admin/permissions/create","admin.permissions.create","App\Http\Controllers\Admin\PermissionController@create"
"GET|HEAD","https://localhost/admin/permissions/{permission}","admin.permissions.show","App\Http\Controllers\Admin\PermissionController@show"
"PUT","https://localhost/admin/permissions/{permission}","admin.permissions.update","App\Http\Controllers\Admin\PermissionController@update"
"DELETE","https://localhost/admin/permissions/{permission}","admin.permissions.destroy","App\Http\Controllers\Admin\PermissionController@destroy"
"GET|HEAD","https://localhost/admin/permissions/{permission}/edit","admin.permissions.edit","App\Http\Controllers\Admin\PermissionController@edit"
"GET|HEAD","https://localhost/admin/po-progress","admin.po_progress.index","App\Http\Controllers\Admin\PoProgressController@index"
"GET|HEAD","https://localhost/admin/purchase-orders","admin.purchase-orders.index","App\Http\Controllers\Admin\PurchaseOrderController@index"
"GET|HEAD","https://localhost/admin/purchase-orders/doc/{poNumber}","admin.purchase-orders.document","App\Http\Controllers\Admin\PurchaseOrderController@showDocument"
"GET|HEAD","https://localhost/admin/purchase-orders/export/csv","admin.purchase-orders.export","App\Http\Controllers\Admin\PurchaseOrderController@export"
"POST","https://localhost/admin/purchase-orders/{purchaseOrder}/reallocate-quota","admin.purchase-orders.reallocate_quota","App\Http\Controllers\Admin\PurchaseOrderController@reallocateQuota"
"GET|HEAD","https://localhost/admin/purchase-orders/{purchase_order}","admin.purchase-orders.show","App\Http\Controllers\Admin\PurchaseOrderController@show"
"DELETE","https://localhost/admin/purchase-orders/{purchase_order}","admin.purchase-orders.destroy","App\Http\Controllers\Admin\PurchaseOrderController@destroy"
"GET|HEAD","https://localhost/admin/quotas","admin.quotas.index","App\Http\Controllers\Admin\QuotaController@index"
"GET|HEAD","https://localhost/admin/quotas/create","admin.quotas.create","Closure"
"GET|HEAD","https://localhost/admin/quotas/export/csv","admin.quotas.export","App\Http\Controllers\Admin\QuotaController@export"
"PUT|PATCH","https://localhost/admin/quotas/{quota}","admin.quotas.update","App\Http\Controllers\Admin\QuotaController@update"
"DELETE","https://localhost/admin/quotas/{quota}","admin.quotas.destroy","App\Http\Controllers\Admin\QuotaController@destroy"
"GET|HEAD","https://localhost/admin/quotas/{quota}/edit","admin.quotas.edit","App\Http\Controllers\Admin\QuotaController@edit"
"GET|HEAD","https://localhost/admin/reports/final","admin.reports.final","App\Http\Controllers\Admin\FinalReportController@index"
"GET|HEAD","https://localhost/admin/reports/final/export/csv","admin.reports.final.export.csv","App\Http\Controllers\Admin\FinalReportController@exportCsv"
"GET|HEAD","https://localhost/admin/roles","admin.roles.index","App\Http\Controllers\Admin\RoleController@index"
"POST","https://localhost/admin/roles","admin.roles.store","App\Http\Controllers\Admin\RoleController@store"
"GET|HEAD","https://localhost/admin/roles/create","admin.roles.create","App\Http\Controllers\Admin\RoleController@create"
"GET|HEAD","https://localhost/admin/roles/{role}","admin.roles.show","App\Http\Controllers\Admin\RoleController@show"
"PUT|PATCH","https://localhost/admin/roles/{role}","admin.roles.update","App\Http\Controllers\Admin\RoleController@update"
"DELETE","https://localhost/admin/roles/{role}","admin.roles.destroy","App\Http\Controllers\Admin\RoleController@destroy"
"GET|HEAD","https://localhost/admin/roles/{role}/edit","admin.roles.edit","App\Http\Controllers\Admin\RoleController@edit"
"GET|HEAD","https://localhost/admin/users","admin.users.index","App\Http\Controllers\Admin\UserController@index"
"POST","https://localhost/admin/users","admin.users.store","App\Http\Controllers\Admin\UserController@store"
"GET|HEAD","https://localhost/admin/users/create","admin.users.create","App\Http\Controllers\Admin\UserController@create"
"GET|HEAD","https://localhost/admin/users/recent","admin.users.recent","App\Http\Controllers\Admin\UserController@recent"
"GET|HEAD","https://localhost/admin/users/{user}","admin.users.show","App\Http\Controllers\Admin\UserController@show"
"PUT","https://localhost/admin/users/{user}","admin.users.update","App\Http\Controllers\Admin\UserController@update"
"DELETE","https://localhost/admin/users/{user}","admin.users.destroy","App\Http\Controllers\Admin\UserController@destroy"
"GET|HEAD","https://localhost/admin/users/{user}/edit","admin.users.edit","App\Http\Controllers\Admin\UserController@edit"
"GET|HEAD","https://localhost/analytics","analytics.index","App\Http\Controllers\AnalyticsController@index"
"GET|HEAD","https://localhost/analytics/data","analytics.data","App\Http\Controllers\AnalyticsController@data"
"GET|HEAD","https://localhost/analytics/export/csv","analytics.export.csv","App\Http\Controllers\AnalyticsController@exportCsv"
"GET|HEAD","https://localhost/analytics/export/pdf","analytics.export.pdf","App\Http\Controllers\AnalyticsController@exportPdf"
"GET|HEAD","https://localhost/analytics/export/xlsx","analytics.export.xlsx","App\Http\Controllers\AnalyticsController@exportXlsx"
"GET|HEAD","https://localhost/confirm-password","password.confirm","App\Http\Controllers\Auth\ConfirmablePasswordController@show"
"POST","https://localhost/confirm-password","","App\Http\Controllers\Auth\ConfirmablePasswordController@store"
"GET|HEAD","https://localhost/dashboard","dashboard","App\Http\Controllers\Admin\DashboardController@index"
"POST","https://localhost/email/verification-notification","verification.send","App\Http\Controllers\Auth\EmailVerificationNotificationController@store"
"GET|HEAD","https://localhost/forgot-password","password.request","App\Http\Controllers\Auth\PasswordResetLinkController@create"
"POST","https://localhost/forgot-password","password.email","App\Http\Controllers\Auth\PasswordResetLinkController@store"
"GET|HEAD","https://localhost/login","login","App\Http\Controllers\Auth\AuthenticatedSessionController@create"
"POST","https://localhost/login","","App\Http\Controllers\Auth\AuthenticatedSessionController@store"
"POST","https://localhost/logout","logout","App\Http\Controllers\Auth\AuthenticatedSessionController@destroy"
"GET|HEAD","https://localhost/logout","logout.get","Closure"
"PUT","https://localhost/password","password.update","App\Http\Controllers\Auth\PasswordController@update"
"GET|HEAD","https://localhost/profile","profile.edit","App\Http\Controllers\ProfileController@edit"
"PATCH","https://localhost/profile","profile.update","App\Http\Controllers\ProfileController@update"
"DELETE","https://localhost/profile","profile.destroy","App\Http\Controllers\ProfileController@destroy"
"GET|HEAD","https://localhost/register","register","App\Http\Controllers\Auth\RegisteredUserController@create"
"POST","https://localhost/register","","App\Http\Controllers\Auth\RegisteredUserController@store"
"POST","https://localhost/reset-password","password.store","App\Http\Controllers\Auth\NewPasswordController@store"
"GET|HEAD","https://localhost/reset-password/{token}","password.reset","App\Http\Controllers\Auth\NewPasswordController@create"
"GET|HEAD","https://localhost/storage/{path}","storage.local","Closure"
"GET|HEAD","https://localhost/up","","Closure"
"GET|HEAD","https://localhost/verify-email","verification.notice","App\Http\Controllers\Auth\EmailVerificationPromptController"
"GET|HEAD","https://localhost/verify-email/{id}/{hash}","verification.verify","App\Http\Controllers\Auth\VerifyEmailController"
